YEAR(Integer),DIV1(Double),DIV2(Double),DIV3(Double),DIV4(Double),DIV7(Double),DIV9(Double),X(Double),FEMALECANDIDATES(Double),FEMALEDIV1(Double),FEMALEDIV2(Double)
2011,112,13.4,50.9,24.1,8.9,0,0.9,1.8,63,14.3
2011,13.3,42.9,24.8,16.2,0,0,2.9,41,7.3,41.5
2011,60,13.3,38.3,26.7,20,0,0,1.7,36,8.3
2011,38,13.2,50,31.6,5.3,0,0,0,23,17.4
2011,168,13.1,29.2,35.7,20.2,0,0.6,1.2,73,6.8
2011,13,34.8,37,15.2,0,0,0,0,0,0
2011,12.9,33.6,29.1,23,0,0.3,1.1,152,5.3,29.6
2011,203,12.8,34,33,20.2,0,0,0,107,0.9
2011,12.6,58.5,22.2,3.7,0,0,3,56,3.6,58.9
2011,24,12.5,41.7,25,16.7,0,0,4.2,9,11.1
2011,80,12.5,30,38.8,15,0,0,3.8,51,5.9
2011,72,12.5,26.4,43.1,18.1,0,0,0,72,12.5
2011,12.5,40,36.9,9.4,0,0,1.3,128,7.8,36.7
2011,24,12.5,50,37.5,0,0,0,0,6,0
2011,32,12.5,25,34.4,21.9,0,0,6.3,14,7.1
2011,12.4,42.2,29.8,13,0,0.6,1.9,85,4.7,35.3
2011,12.4,21.2,26.3,37.2,1.5,0,1.5,92,5.4,21.7
2011,121,12.4,36.4,31.4,19,0,0,0.8,51,0
2011,113,12.4,25.7,31.9,26.5,0,0.9,2.7,53,9.4
2011,12.2,36.6,24.4,22,0,0,4.9,14,7.1,50
2011,148,12.2,31.8,26.4,27.7,0,0,2,84,3.6
2011,12.1,46.2,28.9,12.7,0,0,0,173,12.1,46.2
2011,91,12.1,25.3,28.6,31.9,0,1.1,1.1,58,10.3
2011,12,30,30,22,0,2,4,27,7.4,14.8
2011,12,44.8,28.8,13.6,0,0,0.8,101,12.9,47.5
2011,150,12,32.7,32,18,0,2,3.3,74,4.1
2011,12,44,25.3,18.7,0,0,0,75,12,44
2011,12,37,30.4,14.1,0,0,6.5,47,6.4,36.2
2011,11.9,31,28.6,21.4,0,0,7.1,20,5,35
2011,84,11.9,20.2,39.3,27.4,0,1.2,0,45,4.4
2011,76,11.8,27.6,38.2,21.1,0,1.3,0,44,9.1
2011,170,11.8,35.9,32.9,19.4,0,0,0,96,3.1
2011,102,11.8,25.5,31.4,29.4,0,1,1,57,7
